level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	1	4	3141	514	32	42	93.243782	&
2	1	9	0	0	0	2119	1948	391	56	-1	
3	1	9	1	0	0	2119	1948	391	56	-1	
4	1	9	1	1	0	2119	1948	391	56	-1	
5	1	9	1	1	1	2119	1951	154	53	93.269707	Energy
5	1	9	1	1	2	2287	1951	32	42	93.269707	&
5	1	9	1	1	3	2335	1948	175	45	96.917793	Utilities
2	1	10	0	0	0	1564	453	127	250	-1	
3	1	10	1	0	0	1568	453	123	250	-1	
4	1	10	1	1	0	1666	468	25	235	-1	
5	1	10	1	1	1	1675	468	2	2	89.122955	/
5	1	10	1	1	2	1682	549	9	6	0.000000	‘
5	1	10	1	1	3	1666	675	20	28	30.216072	al
4	1	10	1	2	0	1620	458	31	244	-1	
5	1	10	1	2	1	1626	458	2	2	57.234673	.
5	1	10	1	2	2	1620	543	31	159	37.042236	hse]
4	1	10	1	3	0	1564	453	69	138	-1	
5	1	10	1	3	1	1568	453	61	83	16.918671	LG
5	1	10	1	3	2	1564	564	69	27	23.640709	os
2	1	11	0	0	0	1527	452	8	5	-1	
3	1	11	1	0	0	1527	452	8	5	-1	
4	1	11	1	1	0	1527	452	8	5	-1	
5	1	11	1	1	1	1527	452	8	5	3.064636	é
2	1	12	0	0	0	1613	285	74	167	-1	
3	1	12	1	0	0	1613	285	74	199	-1	
4	1	12	1	1	0	1613	285	74	167	-1	
5	1	12	1	1	1	1613	285	74	167	32.934761	_——|
2	1	13	0	0	0	1599	81	47	362	-1	
3	1	13	1	0	0	1599	81	47	362	-1	
4	1	13	1	1	0	1599	81	47	362	-1	
5	1	13	1	1	1	1599	81	47	40	45.761127	_
5	1	13	1	1	2	1608	167	34	129	42.414398	LL
5	1	13	1	1	3	1609	438	10	5	22.440903	5
2	1	14	0	0	0	1512	0	82	309	-1	
3	1	14	1	0	0	1512	0	82	309	-1	
4	1	14	1	1	0	1512	0	82	309	-1	
5	1	14	1	1	1	1512	0	82	309	0.000000	Bae
2	1	15	0	0	0	1602	1936	350	72	-1	
3	1	15	1	0	0	1602	1936	351	72	-1	
4	1	15	1	1	0	1602	1936	350	72	-1	
5	1	15	1	1	1	1602	1945	329	63	96.147141	Manufacturing
5	1	15	1	1	2	1948	1936	4	3	6.477997	:
2	1	16	0	0	0	1266	281	1	69	-1	
3	1	16	1	0	0	1266	281	1	69	-1	
4	1	16	1	1	0	1266	281	1	69	-1	
5	1	16	1	1	1	1266	281	1	69	95.000000	 
2	1	17	0	0	0	1072	1950	251	54	-1	
3	1	17	1	0	0	1072	1950	251	54	-1	
4	1	17	1	1	0	1072	1950	251	54	-1	
5	1	17	1	1	1	1072	1950	251	54	92.949982	Agricuiture
2	1	18	0	0	0	1043	275	3	157	-1	
3	1	18	1	0	0	1043	275	3	157	-1	
4	1	18	1	1	0	1043	275	3	157	-1	
5	1	18	1	1	1	1043	275	3	157	95.000000	 
2	1	19	0	0	0	971	305	328	5	-1	
3	1	19	1	0	0	971	305	328	5	-1	
4	1	19	1	1	0	971	305	328	5	-1	
5	1	19	1	1	1	971	305	328	5	95.000000	 
2	1	20	0	0	0	1003	349	225	5	-1	
3	1	20	1	0	0	1003	349	225	5	-1	
4	1	20	1	1	0	1003	349	225	5	-1	
5	1	20	1	1	1	1003	349	225	5	95.000000	 
2	1	21	0	0	0	1005	301	1	75	-1	
3	1	21	1	0	0	1005	301	1	75	-1	
4	1	21	1	1	0	1005	301	1	75	-1	
5	1	21	1	1	1	1005	301	1	75	95.000000	 
2	1	22	0	0	0	535	644	275	1286	-1	
3	1	22	1	0	0	535	644	275	1286	-1	
4	1	22	1	1	0	535	644	275	57	-1	
5	1	22	1	1	1	535	646	90	44	93.286575	Law
5	1	22	1	1	2	639	646	33	43	93.286575	&
5	1	22	1	1	3	690	644	120	57	96.810684	Legal
4	1	22	1	2	0	574	705	197	42	-1	
5	1	22	1	2	1	574	705	197	42	96.496178	Services
4	1	22	1	3	0	566	1886	224	44	-1	
5	1	22	1	3	1	566	1886	224	44	96.255180	Education
2	1	23	0	0	0	2812	1914	342	116	-1	
3	1	23	1	0	0	2812	1914	342	116	-1	
4	1	23	1	1	0	2812	1914	342	56	-1	
5	1	23	1	1	1	2812	1914	342	56	96.722954	Transportation
4	1	23	1	2	0	2856	1974	256	56	-1	
5	1	23	1	2	1	2856	1975	32	44	93.300537	&
5	1	23	1	2	2	2905	1974	207	56	96.931709	Logistics
2	1	24	0	0	0	2636	2007	65	27	-1	
3	1	24	1	0	0	2636	2007	65	27	-1	
4	1	24	1	1	0	2636	2007	65	27	-1	
5	1	24	1	1	1	2636	2007	65	27	18.039055	a
2	1	25	0	0	0	3507	2072	142	88	-1	
3	1	25	1	0	0	3507	2072	142	88	-1	
4	1	25	1	1	0	3507	2072	142	88	-1	
5	1	25	1	1	1	3507	2072	142	88	38.052803	SS
